672,704
1728,320
1632,320
1632,512
1536,512
1440,512
1440,416
1440,416
1440,320
1440,224
1440,128
1440,32
1536,32
1632,32
1728,32
1056,416
864,608
864,608
864,512
864,512
864,512
864,512
864,416
864,416
864,320
864,320
864,224
864,224
1344,32
1344,32
1248,32
1248,32
1152,32
1056,32
1056,32
960,32
864,32
864,224
768,32
672,32
576,32
576,128
576,224
384,608
384,512
384,512
384,512
384,416
576,512
576,416
576,416
576,320
768,224
672,416
768,608
960,224
1056,224
1152,224
1248,224
1344,416
1248,416
1152,416
1056,608
1248,608
96,416
288,608
384,320
384,320
384,224
480,32
384,32
384,320
